
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
[70/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  1/7   p=0.3017 no  | INDEP  1/3  p=0.1426 no  [1s]
[71/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [5s]
[72/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [1s]
[73/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [5s]
[74/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [1s]
[75/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/9   p=1.0000 no  | INDEP  0/3  p=1.0000 no  [5s]
[76/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/9   p=1.0000 no  | INDEP  0/3  p=1.0000 no  [1s]
[77/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [5s]
[78/436] 001701__sub-BaggySweatpants-sub-BaggySweatpants-ses- overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [1s]
[79/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY01-g1-behavi error ValueError: min() iterable argument is e [3s]
[80/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY01-g1-behavi error ValueError: min() iterable argument is e [1s]
[81/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY02-g1-behavi error ValueError: min() iterable argument is e [3s]
[82/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY02-g1-behavi error ValueError: min() iterable argument is e [0s]
[83/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY03-g1-behavi error ValueError: min() iterable argument is e [3s]
